EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,EMG_8,thumb_theta_1,thumb_theta_2,thumb_theta_3,index_theta_1,index_theta_2,index_theta_3,middle_theta_1,middle_theta_2,middle_theta_3,ring_theta_1,ring_theta_2,ring_theta_3,little_theta_1,little_theta_2,little_theta_3
0.5009941,0.49682572,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,30.0,51.0,69.0,64.0,79.0,64.0,62.0,64.0,70.0,60.0,63.0,88.0,69.0,68.0,64.0
0.4975257,0.4993375,0.48987278,0.4957049,0.5027411,0.5098414,0.4885567,0.46944153,22.0,39.0,53.0,60.0,62.0,32.0,37.0,52.0,53.0,56.0,53.0,56.0,41.0,35.0,40.0
0.5035054,0.47551912,0.49412376,0.49794883,0.46241164,0.50436634,0.47762543,0.46487403,30.0,20.0,44.0,71.0,50.0,50.0,5.0,3.0,21.0,2.0,16.0,26.0,3.0,20.0,24.0
0.5009941,0.4665532,0.48036915,0.48978934,0.5182767,0.5038682,0.47100854,0.4926175,44.0,35.0,41.0,17.0,5.0,24.0,58.0,51.0,58.0,70.0,73.0,63.0,62.0,72.0,67.0
0.49810556,0.49682572,0.48987278,0.49617848,0.5027411,0.5098414,0.4885567,0.4823405,18.0,43.0,52.0,47.0,61.0,49.0,39.0,32.0,48.0,38.0,62.0,38.0,49.0,51.0,60.0
0.5155009,0.502762,0.49675918,0.50481516,0.4994831,0.51229554,0.49477604,0.45964766,2.0,29.0,26.0,12.0,15.0,28.0,19.0,10.0,5.0,19.0,6.0,29.0,9.0,28.0,15.0
0.48655048,0.45893,0.50423956,0.4840535,0.46363682,0.5145932,0.49199498,0.49341047,12.0,5.0,23.0,11.0,18.0,28.0,8.0,5.0,8.0,29.0,16.0,2.0,26.0,8.0,30.0
0.5035054,0.49206874,0.4924116,0.48978934,0.50660217,0.49662447,0.4885567,0.4917324,59.0,38.0,39.0,36.0,4.0,56.0,65.0,47.0,58.0,89.0,66.0,66.0,62.0,72.0,72.0
0.48505783,0.49659827,0.47647128,0.49996665,0.48436406,0.5140025,0.47787735,0.4973676,20.0,23.0,29.0,4.0,22.0,23.0,20.0,9.0,25.0,21.0,6.0,30.0,27.0,6.0,14.0
0.5009941,0.49682572,0.4920936,0.48978934,0.50660217,0.50250286,0.4885567,0.4888724,38.0,45.0,59.0,27.0,22.0,13.0,52.0,50.0,60.0,72.0,78.0,75.0,68.0,73.0,74.0
0.4975257,0.4993375,0.48987278,0.4957049,0.5027411,0.5098414,0.4885567,0.47161192,20.0,38.0,45.0,32.0,69.0,43.0,42.0,71.0,40.0,47.0,36.0,56.0,57.0,31.0,44.0
0.47966018,0.48695406,0.48806408,0.5068031,0.49297035,0.50637126,0.48163798,0.49359888,24.0,9.0,15.0,14.0,10.0,30.0,11.0,8.0,16.0,10.0,20.0,12.0,4.0,1.0,13.0
0.4975257,0.50053775,0.47763318,0.4957049,0.50848657,0.5093072,0.4831572,0.49810845,20.0,24.0,52.0,39.0,53.0,44.0,53.0,53.0,43.0,32.0,72.0,31.0,42.0,72.0,37.0
0.5009941,0.494366,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,42.0,42.0,69.0,71.0,66.0,64.0,62.0,85.0,61.0,60.0,62.0,77.0,78.0,77.0,85.0
0.49560055,0.4343845,0.48639566,0.49086675,0.47416383,0.50152105,0.47377157,0.5132404,26.0,7.0,5.0,7.0,14.0,24.0,16.0,15.0,24.0,18.0,17.0,3.0,4.0,25.0,1.0
0.48505783,0.4775346,0.47518697,0.49303257,0.46973938,0.5091006,0.4895913,0.46455878,5.0,25.0,28.0,10.0,7.0,24.0,16.0,29.0,2.0,1.0,29.0,25.0,30.0,9.0,4.0
0.5065521,0.46383104,0.44863892,0.48978934,0.48322928,0.4959251,0.45621264,0.48794535,32.0,42.0,50.0,14.0,16.0,49.0,56.0,58.0,59.0,89.0,69.0,70.0,68.0,62.0,63.0
